hash filename family author
00d1fe07ab948b348bb3fb423b1ef40d lec_mult_KvW_12x11.sanitized.cnf.xz hardware-miter kochemazov
02066c116dbacc40ec5cca2067db26c0 mrpp_4x4#12_12.cnf.xz planning surynek
0265448c232e3a25aa5bcd29b1b14567 x9-10051.sat.sanitized.cnf.xz knights-tour sterten
02e4f23ed59566d343b605dc2cc30a01 REGRandom-K4-L3-Seed40.sanitized.cnf.xz reg-n shuolinli
02f6ca52f1ada872d82035088701b66a linked_list_swap_contents_safety_unwind69.cnf.xz software-verification osama
04ded94454830d4ea960327e8b91f5a3 mdp-28-14-sat.cnf.xz minimum-disagreement-parity bryant
04e219c640ed59dc68ea2d50493de5b5 mp1-Nb5T15.cnf.xz polynomial-multiplication xiao
05c8e94aaee86390eaf6e68dd3ec3570 noL-11-2.sanitized.cnf.xz heule-nol heule
05ed64e4e6229f446082752936768489 stb_495_168.apx_2_DC-AD.cnf.xz argumentation niskanen
07b476c83150d3cb7e08f5d045e255ab marg5x5.shuffled-as.sat03-1455.cnf.xz tseitin bevan
07c50b89d97a55b6e1629999a445a2ba ctl_4201_555_unsat_pre.cnf.xz scheduling kummling
07e6413459f92b613498a719125b6239 j3037_10_mdd_bm1.cnf.xz scheduling shuolinli
0876c518e5653369e20fb1ee0bb8db40 mp1-klieber2017s-0500-023-t12.cnf.xz crafted-cec klieber
089f909e37b3ef0c4d90687f7e22b68f simon-r18-0.sanitized.cnf.xz cryptography-simon yuhangqian
08be288536c3178e6874a5676493923c g2-hwmcc15deep-bob12s02-k16.cnf.xz hardware-miter biere
08ccc34df5d8eb9e9d45278af3dc093d simon-r16-1.sanitized.cnf.xz cryptography-simon yuhangqian
093fa3ff9f7bc9979c43f9d2310ac21d 128_125.sanitized.cnf.xz hardware-miter jinjinliu
096e485489025895cdc59887baafa08b test_v7_r17_vr5_c1_s25451.smt2-cvc4.cnf.xz bitvector manthey
09b61bbf19748094a7d896aac314ab36 x9-12063.sat.sanitized.cnf.xz knights-tour sterten
09c1b79b1cfe3522364fe60aef780703 x9-12092.sat.sanitized.cnf.xz knights-tour sterten
09d7add3bf3b75c5d1023a92e752989a Break_unsat_04_03.xml.cnf.xz scheduling lester
0a02751cacf5e1cdfcc842a7f220199f hwmcc17miters-xits-iso-bobsmfpu.sanitized.cnf.xz hardware-miter biere
0a27eb7c16c1e69ff4d087d217ac89cb noL-11-0.sanitized.cnf.xz heule-nol heule
0ac5ff376b826f68d384ba05a1d00de0 sokoban-p20.sas.cr.33.cnf.xz planning balyo
0ac6aaf6db6a0e4ec3a06e865d01086f pcmax-scheduling-m13-2011-12813-UNSAT.sanitized.cnf.xz scheduling schreiber
0bad2ce307bf5b68db26fa34e252c9d4 af-synthesis_stb_50_100_4_sat.cnf.xz maxsat-optimum cherif
0cace8a29a1d6b225a8da561d35e8f5a lru_10.sanitized.cnf.xz hardware-miter jinjinliu
0cfe9c90d3a51435a5e4dba7634b882f g2-ak128boothbg2msisc.cnf.xz miter biere
0d3160b80aa406bfc718c007265b9e73 linked_list_swap_contents_safety_unwind65.cnf.xz software-verification osama
0d3fcbb89bfb8e821058ba3ea4284de1 j3045_10_gmto_b.cnf.xz scheduling shuolinli
0d81711a3d73c828e8c6e12607eda82d noL-11-20.sanitized.cnf.xz heule-nol heule
0e5ffe8651c6d9c3cccc3f6cb72be39a g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.cnf.xz bitvector manthey
0ef029cb7616d4a89eb6d1f63e89f67e or_randxor_k3_n510_m510.sanitized.cnf.xz or_randxor oertel
0f262afd5b117000f8b4734d175aadab linked_list_swap_contents_safety_unwind73.cnf.xz software-verification osama
0fa8623240b5c14c1308f863a6dc88ab urqh1c5x5.shuffled-as.sat03-1468.cnf.mis-103.debugged.cnf.xz tseitin bevan
0fa9521ff633b27be11525a7b0f7d8b6 jgiraldezlevy.2200.9086.08.40.41.cnf.xz random-modularity giraldez
1009c791cee542cdf19651fe25e6881a summle_X4053_steps8_I1-2-2-4-4-8-25-100.cnf.xz summle manthey
1156429862d3c03160406d6d1a786f11 rphp_p8_r170.sanitized.cnf.xz relativized-pigeon-hole oertel
1165e12b6addad01b491c4616306186c mulhs016-sc2009.cnf.xz bitvector brummayer
11cc532ecddfb10a47e0a869b4867c1b Break_triple_20_36.xml.cnf.xz scheduling lester
12b4a08e412a3bffb513ca65639c7c69 Folkman-175-7416734.sanitized.cnf.xz heule-folkman heule
13ae2628d8e113db1786dba41a65fe38 x9-10027.sat.sanitized.cnf.xz knights-tour sterten
1427381a809c64c721838894ece6756d shuffling-2-s25242449-of-bench-sat04-727.used-as.sat04-753.cnf.xz hardware-verification unknown
14e4cfcf0d83b2185fad41684d00d4dc x9-12035.sat.sanitized.cnf.xz knights-tour sterten
14ea5857d75ae2b235a3ba97373ea732 af-synthesis_stb_50_40_9_unsat.cnf.xz maxsat-optimum cherif
1507d9812624b3e0eaf15e40100be020 x9-12014.sat.sanitized.cnf.xz knights-tour sterten
1545660e72158c7e90da5ad4c877a124 hwmcc20miters-iso-rast-p06.sanitized.cnf.xz hardware-miter biere
1548977b4e27032fe07cda357782cd6a mdp-28-14-unsat.cnf.xz minimum-disagreement-parity bryant
16c27d738cb45b766b8823ca4f428cf0 rbsat-v760c43649gyes7.cnf.xz rbsat huang
16c5482d8e658b54e20d59cfd4b1d588 two-trees-511v.sanitized.cnf.xz binary-tree-parity pakin
16ca57f2cdffd5b0260fc771017e1f04 mdp-36-10-unsat.cnf.xz minimum-disagreement-parity bryant
170a7d847694ee4cfa5c421757672882 af-synthesis_stb_50_140_0_unsat.cnf.xz maxsat-optimum cherif
170b13af977e962321c493544b2bd0a9 circuit_48in64out_with_800gates_4in4out_dist128_seed4.sanitized.cnf.xz random-circuits franck
18c0eb461bda29214bd43b84199a3b61 cliquecolouring_n31_k5_c4.sanitized.cnf.xz clique-coloring oertel
195852083a05edee1902233698eec14a x9-11077.sat.sanitized.cnf.xz knights-tour sterten
19e2c3a0865c8c1b4543d11213bebe5f x9-09024.sat.sanitized.cnf.xz knights-tour sterten
